NIN,old_buy,new_buy,old_sell,new_sell,action
0:heavy_core,6666.0,13140.0,2000.0,8212.5,update
0:pink_concrete_powder,4.0,4.0,2.5,2.5,update
0:magenta_concrete_powder,4.0,4.0,2.5,2.5,update
0:purple_concrete_powder,4.0,4.0,2.5,2.5,update
0:blue_concrete_powder,4.0,4.0,2.5,2.5,update
0:light_blue_concrete_powder,4.0,4.0,2.5,2.5,update
0:cyan_concrete_powder,4.0,4.0,2.5,2.5,update
0:green_concrete_powder,4.0,4.0,2.5,2.5,update
0:lime_concrete_powder,4.0,4.0,2.5,2.5,update
0:yellow_concrete_powder,4.0,4.0,2.5,2.5,update
0:orange_concrete_powder,4.0,4.0,2.5,2.5,update
0:red_concrete_powder,4.0,4.0,2.5,2.5,update
0:brown_concrete_powder,4.0,4.0,2.5,2.5,update
0:black_concrete_powder,4.0,4.0,2.5,2.5,update
0:gray_concrete_powder,4.0,4.0,2.5,2.5,update
0:light_gray_concrete_powder,4.0,4.0,2.5,2.5,update
0:white_concrete_powder,4.0,4.0,2.5,2.5,update
0:pink_wool,5.0,4.0,2.5,2.5,update
0:magenta_wool,5.0,4.0,2.5,2.5,update
0:purple_wool,5.0,4.0,2.5,2.5,update
0:blue_wool,5.0,4.0,2.5,2.5,update
0:light_blue_wool,5.0,4.0,2.5,2.5,update
0:cyan_wool,5.0,4.0,2.5,2.5,update
0:green_wool,5.0,4.0,2.5,2.5,update
0:lime_wool,5.0,4.0,2.5,2.5,update
0:yellow_wool,5.0,4.0,2.5,2.5,update
0:orange_wool,5.0,4.0,2.5,2.5,update
0:red_wool,5.0,4.0,2.5,2.5,update
0:brown_wool,5.0,4.0,2.5,2.5,update
0:black_wool,5.0,4.0,2.5,2.5,update
0:gray_wool,5.0,4.0,2.5,2.5,update
0:light_gray_wool,5.0,4.0,2.5,2.5,update
0:blue_ice,5.0,18.0,3.0,11.25,update
0:blue_egg,3.0,3.0,1.5,1.88,update
0:brown_egg,3.0,3.0,1.5,1.88,update
0:magma,6.0,8.0,3.0,5.0,update
0:snow,3.0,0.5,1.0,0.31,update
0:packed_ice,4.0,6.0,2.0,3.75,update
0:ice,4.0,2.0,2.0,1.25,update
1:kaleidoscope_doll_hoglin,150.0,2000.0,100.0,1250.0,doll
1:kaleidoscope_doll_strider,150.0,2000.0,100.0,1250.0,doll
1:kaleidoscope_doll_blaze,150.0,2000.0,120.0,1250.0,doll
1:kaleidoscope_doll_ghast,150.0,2000.0,120.0,1250.0,doll
1:kaleidoscope_doll_magma_cube,150.0,2000.0,100.0,1250.0,doll
1:kaleidoscope_doll_wither,200.0,6570.0,150.0,4106.25,doll
1:kaleidoscope_doll_silverfish,100.0,750.0,80.0,468.75,doll
1:kaleidoscope_doll_piglin,150.0,2000.0,100.0,1250.0,doll
1:kaleidoscope_doll_zoglin,150.0,2000.0,100.0,1250.0,doll
1:kaleidoscope_doll_zombified_piglin,150.0,2000.0,100.0,1250.0,doll
1:kaleidoscope_doll_warden,200.0,4000.0,150.0,2500.0,doll
1:kaleidoscope_doll_phantom,150.0,750.0,100.0,468.75,doll
1:kaleidoscope_doll_elder_guardian,150.0,2000.0,120.0,1250.0,doll
1:kaleidoscope_doll_guardian,150.0,2000.0,120.0,1250.0,doll
1:kaleidoscope_doll_cave_spider,100.0,750.0,80.0,468.75,doll
1:kaleidoscope_doll_spider,100.0,750.0,80.0,468.75,doll
1:kaleidoscope_doll_creeper,100.0,750.0,80.0,468.75,doll
1:kaleidoscope_doll_wither_skeleton,150.0,4000.0,100.0,2500.0,doll
1:kaleidoscope_doll_stray,100.0,750.0,80.0,468.75,doll
1:kaleidoscope_doll_skeleton,100.0,750.0,80.0,468.75,doll
1:kaleidoscope_doll_ravager,100.0,4000.0,80.0,2500.0,doll
1:kaleidoscope_doll_illusioner,100.0,750.0,80.0,468.75,doll
1:kaleidoscope_doll_evoker,100.0,4000.0,80.0,2500.0,doll
1:kaleidoscope_doll_vindicator,100.0,2000.0,80.0,1250.0,doll
1:kaleidoscope_doll_pillager,100.0,2000.0,80.0,1250.0,doll
1:kaleidoscope_doll_witch,100.0,750.0,80.0,468.75,doll
1:kaleidoscope_doll_drowned,100.0,750.0,80.0,468.75,doll
1:kaleidoscope_doll_husk,100.0,750.0,80.0,468.75,doll
1:kaleidoscope_doll_zombie_villager,100.0,100.0,80.0,62.5,doll
1:kaleidoscope_doll_zombie,100.0,750.0,80.0,468.75,doll
1:kaleidoscope_doll_rabbit,100.0,100.0,100.0,62.5,doll
1:kaleidoscope_doll_fox,100.0,100.0,80.0,62.5,doll
1:kaleidoscope_doll_parrot,100.0,100.0,80.0,62.5,doll
1:kaleidoscope_doll_llama,100.0,100.0,80.0,62.5,doll
