index,NIN,count,durability,buy_price,sell_price,field3,field4,field5,tag,bool1,str2,str3,field10,field11,field12,field13,field14,field15,modEnchantData
0,0:heavy_core,64,0,6666.0,2000.0,,0,0,材料,False,金币,金币,0,1.0,1,0.2,0.9,0.1,[]
1,0:pink_concrete_powder,64,0,4.0,2.5,,0,0,材料,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
2,0:magenta_concrete_powder,64,0,4.0,2.5,,0,0,材料,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
3,0:purple_concrete_powder,64,0,4.0,2.5,,0,0,材料,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
4,0:blue_concrete_powder,64,0,4.0,2.5,,0,0,材料,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
5,0:light_blue_concrete_powder,64,0,4.0,2.5,,0,0,材料,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
6,0:cyan_concrete_powder,64,0,4.0,2.5,,0,0,材料,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
7,0:green_concrete_powder,64,0,4.0,2.5,,0,0,材料,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
8,0:lime_concrete_powder,64,0,4.0,2.5,,0,0,材料,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
9,0:yellow_concrete_powder,64,0,4.0,2.5,,0,0,材料,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
10,0:orange_concrete_powder,64,0,4.0,2.5,,0,0,材料,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
11,0:red_concrete_powder,64,0,4.0,2.5,,0,0,材料,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
12,0:brown_concrete_powder,64,0,4.0,2.5,,0,0,材料,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
13,0:black_concrete_powder,64,0,4.0,2.5,,0,0,材料,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
14,0:gray_concrete_powder,64,0,4.0,2.5,,0,0,材料,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
15,0:light_gray_concrete_powder,64,0,4.0,2.5,,0,0,材料,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
16,0:white_concrete_powder,64,0,4.0,2.5,,0,0,材料,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
17,0:pink_wool,64,0,5.0,2.5,,0,0,材料,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
18,0:magenta_wool,64,0,5.0,2.5,,0,0,材料,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
19,0:purple_wool,64,0,5.0,2.5,,0,0,材料,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
20,0:blue_wool,64,0,5.0,2.5,,0,0,材料,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
21,0:light_blue_wool,64,0,5.0,2.5,,0,0,材料,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
22,0:cyan_wool,64,0,5.0,2.5,,0,0,材料,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
23,0:green_wool,64,0,5.0,2.5,,0,0,材料,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
24,0:lime_wool,64,0,5.0,2.5,,0,0,材料,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
25,0:yellow_wool,64,0,5.0,2.5,,0,0,材料,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
26,0:orange_wool,64,0,5.0,2.5,,0,0,材料,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
27,0:red_wool,64,0,5.0,2.5,,0,0,材料,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
28,0:brown_wool,64,0,5.0,2.5,,0,0,材料,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
29,0:black_wool,64,0,5.0,2.5,,0,0,材料,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
30,0:gray_wool,64,0,5.0,2.5,,0,0,材料,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
31,0:light_gray_wool,64,0,5.0,2.5,,0,0,材料,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
32,0:blue_ice,64,0,5.0,3.0,,0,0,材料,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
33,0:blue_egg,16,0,3.0,1.5,,0,0,材料,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
34,0:brown_egg,16,0,3.0,1.5,,0,0,材料,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
35,0:magma,64,0,6.0,3.0,,0,0,材料,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
36,0:snow,64,0,3.0,1.0,,0,0,材料,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
37,0:packed_ice,64,0,4.0,2.0,,0,0,材料,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
38,0:ice,64,0,4.0,2.0,,0,0,材料,False,金币,金币,0,1.0,10,0.1,0.9,0.1,[]
39,1:kaleidoscope_doll_hoglin,64,0,150.0,100.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
40,1:kaleidoscope_doll_strider,64,0,150.0,100.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
41,1:kaleidoscope_doll_blaze,64,0,150.0,120.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
42,1:kaleidoscope_doll_ghast,64,0,150.0,120.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
43,1:kaleidoscope_doll_magma_cube,64,0,150.0,100.0,,0,0,森罗物语（玩偶）,False,金币,金币,0,1.0,1,0.5,0.99,0.0,[]
