name,action,old_buy,new_buy,count,tag
acacia_boat,update,8.0,8.0,1,其他
acacia_button,update,2.0,0.5,16,方块
acacia_chest_boat,update,15.0,15.0,1,其他
acacia_fence_gate,add,,0.9,16,方块
acacia_hanging_sign,add,,2.2,16,方块
acacia_leaves,add,,1.0,64,方块
acacia_pressure_plate,add,,0.72,16,方块
acacia_sapling,add,,2.0,64,方块
acacia_slab,update,0.36,0.33,64,方块
acacia_wood,add,,2.2,64,方块
amethyst_cluster,add,,20.0,16,方块
andesite_slab,add,,0.11,64,方块
andesite_stairs,add,,0.3,64,方块
andesite_wall,add,,0.24,64,方块
azalea,add,,3.0,16,方块
bamboo_block,add,,1.8,64,方块
bamboo_button,update,2.0,0.5,16,方块
bamboo_door,update,1.5,1.38,16,方块
bamboo_fence,update,0.72,0.66,64,方块
bamboo_fence_gate,add,,0.83,16,方块
bamboo_hanging_sign,add,,2.05,16,方块
bamboo_mosaic,add,,0.7,64,方块
bamboo_mosaic_slab,add,,0.39,64,方块
bamboo_mosaic_stairs,add,,1.05,64,方块
bamboo_planks,update,0.6,0.55,64,方块
bamboo_pressure_plate,add,,0.66,16,方块
bamboo_sign,update,1.4,1.3,16,方块
bamboo_slab,update,0.36,0.3,64,方块
bamboo_stairs,update,0.9,0.83,64,方块
bamboo_trapdoor,update,1.2,1.1,16,方块
bed,update,8.0,8.0,1,其他
birch_boat,update,8.0,8.0,1,其他
birch_button,update,2.0,0.5,16,方块
birch_chest_boat,update,15.0,15.0,1,其他
birch_fence_gate,add,,0.9,16,方块
birch_hanging_sign,add,,2.2,16,方块
birch_leaves,add,,1.0,64,方块
birch_pressure_plate,add,,0.72,16,方块
birch_sapling,add,,2.0,64,方块
birch_slab,update,0.36,0.33,64,方块
birch_wood,add,,2.2,64,方块
black_banner,add,,6.0,16,其他
black_bed,update,8.0,8.0,1,其他
black_candle,add,,6.0,16,其他
black_carpet,update,8.0,3.0,64,方块
black_glazed_terracotta,add,,3.5,64,方块
black_shulker_box,update,1400.0,1400.0,1,其他
black_stained_glass_pane,update,2.0,1.5,64,方块
black_terracotta,update,1.2,1.5,64,方块
blackstone_slab,update,0.8,0.55,64,方块
blackstone_wall,update,1.5,1.2,64,方块
blue_banner,add,,6.0,16,其他
blue_bed,update,8.0,8.0,1,其他
blue_candle,add,,6.0,16,其他
blue_carpet,update,8.0,3.0,64,方块
blue_glazed_terracotta,add,,3.5,64,方块
blue_shulker_box,update,1400.0,1400.0,1,其他
blue_stained_glass_pane,update,2.0,1.5,64,方块
blue_terracotta,update,1.2,1.5,64,方块
bone_block,add,,12.0,16,方块
brain_coral,add,,4.0,16,方块
brain_coral_fan,add,,4.0,16,方块
brick_block,add,,2.0,64,方块
brick_slab,add,,1.1,64,方块
brick_stairs,add,,3.0,64,方块
brick_wall,add,,2.4,64,方块
bricks,add,,2.0,64,方块
brown_banner,add,,6.0,16,其他
brown_bed,update,8.0,8.0,1,其他
brown_candle,add,,6.0,16,其他
brown_carpet,update,8.0,3.0,64,方块
brown_glazed_terracotta,add,,3.5,64,方块
brown_shulker_box,update,1400.0,1400.0,1,其他
brown_stained_glass_pane,update,2.0,1.5,64,方块
brown_terracotta,update,1.2,1.5,64,方块
bubble_coral,add,,4.0,16,方块
bubble_coral_fan,add,,4.0,16,方块
budding_amethyst,add,,80.0,16,方块
candle,add,,5.0,16,其他
carpet,update,8.0,3.0,64,方块
chain,add,,8.0,64,材料
cherry_boat,update,8.0,8.0,1,其他
cherry_button,update,2.0,0.64,16,方块
cherry_chest_boat,update,15.0,15.0,1,其他
cherry_fence_gate,add,,1.2,16,方块
cherry_hanging_sign,add,,2.8,16,方块
cherry_leaves,add,,1.0,64,方块
cherry_log,update,2.5,2.4,64,方块
cherry_pressure_plate,add,,0.96,16,方块
cherry_sapling,add,,2.0,64,方块
cherry_slab,update,0.48,0.44,64,方块
cherry_wood,add,,2.6,64,方块
chiseled_bookshelf,add,,25.0,16,其他
chiseled_copper,update,15.0,1.95,1,方块
chiseled_deepslate,add,,0.5,64,方块
chiseled_quartz_block,add,,12.7,16,方块
chiseled_red_sandstone,add,,1.9,64,方块
chiseled_sandstone,add,,1.6,64,方块
chiseled_stone_bricks,add,,0.4,64,方块
chiseled_tuff,add,,0.5,64,方块
chiseled_tuff_bricks,add,,0.55,64,方块
chorus_flower,update,20.0,8.0,16,方块
coarse_dirt,add,,0.5,64,方块
cobbled_deepslate_slab,add,,0.14,64,方块
cobbled_deepslate_stairs,add,,0.38,64,方块
cobbled_deepslate_wall,add,,0.3,64,方块
cobblestone_slab,add,,0.06,64,方块
cobblestone_stairs,add,,0.15,64,方块
cobblestone_wall,add,,0.12,64,方块
cobweb,add,,8.0,16,方块
copper_block,update,1.86,1.86,1,方块
copper_bulb,update,25.0,3.72,1,其他
copper_door,update,20.0,4.65,1,其他
