item,buy,count,tag
acacia_boat,8.0,1,其他
acacia_chest_boat,15.0,1,其他
acacia_door,1.5,16,材料
acacia_fence,0.72,64,材料
acacia_planks,0.6,64,材料
acacia_sign,1.4,16,材料
acacia_slab,0.36,64,材料
acacia_stairs,0.9,64,材料
acacia_trapdoor,1.2,16,材料
activator_rail,25.0,64,材料
amethyst_block,35.2,16,材料
andesite,0.2,64,材料
anvil,400.0,1,其他
arrow,2.0,64,材料
baked_potato,4.0,64,食物
bamboo_door,1.5,16,材料
bamboo_fence,0.72,64,材料
bamboo_planks,0.6,64,材料
bamboo_sign,1.4,16,材料
bamboo_slab,0.36,64,材料
bamboo_stairs,0.9,64,材料
bamboo_trapdoor,1.2,16,材料
barrel,10.0,16,其他
basalt,1.0,64,材料
beacon,10000.0,1,其他
beetroot_soup,8.0,64,食物
bell,150.0,1,其他
big_dripleaf,6.0,64,材料
birch_boat,8.0,1,其他
birch_chest_boat,15.0,1,其他
birch_door,1.5,16,材料
birch_fence,0.72,64,材料
birch_planks,0.6,64,材料
birch_sign,1.4,16,材料
birch_slab,0.36,64,材料
birch_stairs,0.9,64,材料
birch_trapdoor,1.2,16,材料
black_concrete,5.0,64,材料
black_shulker_box,1400.0,1,其他
black_stained_glass,3.0,64,材料
black_terracotta,1.2,64,材料
blackstone,1.0,64,材料
blast_furnace,120.0,1,其他
blaze_powder,15.0,64,材料
blue_concrete,5.0,64,材料
blue_shulker_box,1400.0,1,其他
blue_stained_glass,3.0,64,材料
blue_terracotta,1.2,64,材料
bone_meal,1.0,64,材料
book,10.0,16,材料
bookshelf,20.0,16,材料
bow,40.0,1,其他
breeze_rod,100.0,16,材料
brewing_stand,100.0,1,其他
brown_concrete,5.0,64,材料
brown_mushroom,3.0,64,材料
brown_shulker_box,1400.0,1,其他
brown_stained_glass,3.0,64,材料
brown_terracotta,1.2,64,材料
brush,50.0,1,其他
bucket,40.0,1,材料
cactus,2.0,64,材料
cake,40.0,1,食物
calcite,0.5,64,材料
calibrated_sculk_sensor,200.0,16,材料
campfire,15.0,16,其他
carrot_on_a_stick,25.0,1,其他
cartography_table,30.0,1,其他
cauldron,80.0,1,其他
chainmail_boots,100.0,1,其他
chainmail_chestplate,200.0,1,其他
chainmail_helmet,120.0,1,其他
chainmail_leggings,180.0,1,其他
cherry_boat,8.0,1,其他
cherry_chest_boat,15.0,1,其他
cherry_door,2.0,16,材料
cherry_fence,0.96,64,材料
cherry_planks,0.8,64,材料
cherry_sign,1.8,16,材料
cherry_slab,0.48,64,材料
cherry_stairs,1.2,64,材料
cherry_trapdoor,1.6,16,材料
chest,8.0,16,其他
chest_minecart,50.0,1,其他
chipped_anvil,250.0,1,其他
chorus_flower,20.0,64,材料
clock,80.0,1,其他
coal_block,79.2,16,材料
coal_ore,10.0,64,材料
cobbled_deepslate,0.25,64,材料
cod_bucket,40.0,1,其他
comparator,40.0,16,材料
compass,50.0,1,其他
composter,10.0,1,其他
conduit,2500.0,1,其他
cooked_cod,5.0,64,食物
cooked_rabbit,6.0,64,食物
cooked_salmon,6.0,64,食物
cookie,3.0,64,食物
copper_block,118.8,16,材料
copper_ore,10.0,64,材料
crafting_table,5.0,16,其他
crimson_door,2.0,16,材料
crimson_fence,0.96,64,材料
crimson_fungus,4.0,64,材料
crimson_planks,0.8,64,材料
crimson_sign,1.8,16,材料
crimson_slab,0.48,64,材料
crimson_stairs,1.2,64,材料
crimson_trapdoor,1.6,16,材料
crossbow,80.0,1,其他
cyan_concrete,5.0,64,材料
cyan_shulker_box,1400.0,1,其他
cyan_stained_glass,3.0,64,材料
cyan_terracotta,1.2,64,材料
damaged_anvil,120.0,1,其他
dark_oak_boat,8.0,1,其他
dark_oak_chest_boat,15.0,1,其他
dark_oak_door,1.5,16,材料
dark_oak_fence,0.72,64,材料
dark_oak_planks,0.6,64,材料
dark_oak_sign,1.4,16,材料
dark_oak_slab,0.36,64,材料
dark_oak_stairs,0.9,64,材料
dark_oak_trapdoor,1.2,16,材料
dark_prismarine,10.0,64,材料
daylight_detector,50.0,16,材料
deepslate,0.3,64,材料
deepslate_coal_ore,12.0,64,材料
deepslate_copper_ore,12.0,64,材料
deepslate_diamond_ore,240.0,64,材料
deepslate_emerald_ore,150.0,64,材料
deepslate_gold_ore,70.0,64,材料
deepslate_iron_ore,36.0,64,材料
deepslate_lapis_ore,36.0,64,材料
deepslate_redstone_ore,20.0,64,材料
detector_rail,25.0,64,材料
diamond_axe,650.0,1,其他
diamond_block,1980.0,1,材料
diamond_boots,800.0,1,其他
diamond_chestplate,1600.0,1,其他
diamond_helmet,1000.0,1,其他
diamond_hoe,450.0,1,其他
diamond_leggings,1400.0,1,其他
diamond_ore,220.0,64,材料
diamond_pickaxe,650.0,1,其他
diamond_shovel,250.0,1,其他
diamond_sword,450.0,1,其他
diorite,0.2,64,材料
dispenser,50.0,16,材料
dried_kelp,1.0,64,食物
dripstone_block,0.4,64,材料
