id,tier,mat_only,mult,unit,old_buy,new_buy,new_sell,count,recipe_type
kaleidoscope_cookery:apple_platter,L1,1.25,3.0,4.95,79.2,79.2,49.5,16,minecraft:crafting_shapeless
kaleidoscope_cookery:bamboo_tube_rice,L2,0.11,4.0,2.42,38.75,38.75,24.22,16,kaleidoscope_cookery:steamer
kaleidoscope_cookery:baozi,L2,0.13,4.0,2.5,40.0,40.0,25.0,16,kaleidoscope_cookery:steamer
kaleidoscope_cookery:baozi_plate,L1,1.63,3.0,6.08,97.2,97.2,60.75,16,minecraft:crafting_shapeless
kaleidoscope_cookery:barley_tea,L1,0.24,3.0,1.91,30.6,30.6,19.13,16,kaleidoscope_cookery:teapot
kaleidoscope_cookery:beef_meatball_soup,L2,0.56,4.0,4.23,67.6,67.6,42.25,16,kaleidoscope_cookery:stockpot
kaleidoscope_cookery:beef_noodle,L2,0.49,4.0,3.98,63.6,63.6,39.75,16,kaleidoscope_cookery:stockpot
kaleidoscope_cookery:berry_platter,L1,1.31,3.0,5.14,82.2,82.2,51.38,16,minecraft:crafting_shapeless
kaleidoscope_cookery:biluochun,L1,30.05,3.0,91.35,1461.6,1461.6,913.5,16,kaleidoscope_cookery:teapot
kaleidoscope_cookery:blaze_lamb_chop,L3,0.65,5.0,6.73,107.75,107.75,67.34,16,kaleidoscope_cookery:pot
kaleidoscope_cookery:borscht,L2,0.49,4.0,3.98,63.6,63.6,39.75,16,kaleidoscope_cookery:stockpot
kaleidoscope_cookery:braised_beef,L1,0.44,3.0,2.53,40.5,40.5,25.31,16,kaleidoscope_cookery:pot
kaleidoscope_cookery:braised_beef_rice_bowl,L2,0.55,4.0,4.2,67.24,67.24,42.03,16,kaleidoscope_cookery:rice_bowl
kaleidoscope_cookery:braised_pork_ribs,L1,0.4,3.0,2.41,38.63,38.63,24.14,16,kaleidoscope_cookery:pot
kaleidoscope_cookery:buddha_jumps_over_the_wall,L3,2.83,5.0,17.66,282.5,282.5,176.56,16,kaleidoscope_cookery:stockpot
kaleidoscope_cookery:chorus_fried_egg,L3,0.6,5.0,6.5,104.0,104.0,65.0,16,kaleidoscope_cookery:pot
kaleidoscope_cookery:chorus_fruit_platter,L1,1.63,3.0,6.08,97.2,97.2,60.75,16,minecraft:crafting_shapeless
kaleidoscope_cookery:cooked_cow_offal,L1,0.03,3.0,1.29,20.7,20.7,12.94,16,kaleidoscope_cookery:pot
kaleidoscope_cookery:cooked_cut_small_meats,L1,0.03,3.0,1.28,20.51,20.51,12.82,16,kaleidoscope_cookery:pot
kaleidoscope_cookery:cooked_lamb_chops,L1,0.03,3.0,1.29,20.7,20.7,12.94,16,kaleidoscope_cookery:pot
kaleidoscope_cookery:cooked_meatball,L1,0.09,3.0,1.48,23.7,23.7,14.81,16,kaleidoscope_cookery:pot
kaleidoscope_cookery:cooked_pork_belly,L1,0.03,3.0,1.29,20.7,20.7,12.94,16,kaleidoscope_cookery:pot
kaleidoscope_cookery:cooked_rice,L0,0.11,1.5,0.31,19.87,19.87,12.42,64,kaleidoscope_cookery:stockpot
