item,buy,count,tag
acacia_shelf,12.0,16,其他
bamboo_shelf,12.0,16,其他
birch_shelf,12.0,16,其他
cherry_shelf,12.0,16,其他
chiseled_copper,15.0,64,材料
copper_axe,40.0,1,其他
copper_bars,20.0,64,材料
copper_boots,50.0,1,其他
copper_bulb,25.0,16,其他
copper_chain,15.0,64,材料
copper_chest,55.0,1,其他
copper_chestplate,120.0,1,其他
copper_door,20.0,16,材料
copper_golem_spawn_egg,600.0,1,其他
copper_grate,18.0,64,材料
copper_helmet,60.0,1,其他
copper_hoe,25.0,1,其他
copper_horse_armor,180.0,1,其他
copper_lantern,45.0,16,其他
copper_leggings,100.0,1,其他
copper_nugget,1.33,64,材料
copper_pickaxe,40.0,1,其他
copper_shovel,18.0,1,其他
copper_sword,30.0,1,其他
copper_torch,2.0,64,材料
copper_trapdoor,16.0,16,材料
crimson_shelf,14.0,16,其他
dark_oak_shelf,12.0,16,其他
jungle_shelf,12.0,16,其他
mangrove_shelf,12.0,16,其他
oak_shelf,12.0,16,其他
spruce_shelf,12.0,16,其他
warped_shelf,14.0,16,其他
