name,action,old_buy,new_buy,sell,reason
bamboo_raft,add,,8.0,5.0,add 其他 c=1
bamboo_chest_raft,add,,15.0,9.38,add 其他 c=1
bee_nest,add,,20.0,12.5,add 方块 c=16
leather_horse_armor,add,,40.0,25.0,add 装备 c=1
iron_horse_armor,add,,200.0,125.0,add 装备 c=1
golden_horse_armor,add,,150.0,93.75,add 装备 c=1
diamond_horse_armor,add,,800.0,500.0,add 装备 c=1
mangrove_propagule,add,,2.0,1.25,add 方块 c=64
mangrove_roots,add,,2.0,1.25,add 方块 c=64
muddy_mangrove_roots,add,,3.0,1.88,add 方块 c=64
nether_sprouts,add,,1.0,0.63,add 方块 c=64
twisting_vines,add,,2.0,1.25,add 方块 c=64
weeping_vines,add,,2.0,1.25,add 方块 c=64
carved_pumpkin,add,,4.0,2.5,add 方块 c=64
jack_o_lantern,add,,8.0,5.0,add 方块 c=16
brown_mushroom_block,add,,6.0,3.75,add 方块 c=64
red_mushroom_block,add,,6.0,3.75,add 方块 c=64
mushroom_stem,add,,6.0,3.75,add 方块 c=64
suspicious_sand,add,,15.0,9.38,add 方块 c=16
suspicious_gravel,add,,15.0,9.38,add 方块 c=16
reinforced_deepslate,add,,200.0,125.0,add 方块 c=1
iron_door,add,,80.0,50.0,add 其他 c=16
iron_trapdoor,add,,50.0,31.25,add 其他 c=16
bowl,add,,1.0,0.63,add 其他 c=64
web,add,,8.0,5.0,add 方块 c=16
seagrass,add,,1.0,0.63,add 方块 c=64
waterlily,add,,3.0,1.88,add 方块 c=64
lodestone_compass,add,,80.0,50.0,add 其他 c=1
undyed_shulker_box,add,,1400.0,875.0,add 其他 c=1
cut_sandstone_slab,add,,0.77,0.48,add 方块 c=64
smooth_sandstone_slab,add,,0.83,0.52,add 方块 c=64
normal_stone_slab,add,,0.11,0.07,add 方块 c=64
stone_slab,add,,0.11,0.07,add 方块 c=64
prismarine_bricks_stairs,add,,15.0,9.38,add 方块 c=64
noteblock,add,,15.0,9.38,add 其他 c=16
stonecutter_block,add,,40.0,25.0,add 其他 c=1
quartz_ore,add,,12.0,7.5,add 方块 c=64
dirt_with_roots,add,,1.0,0.63,add 方块 c=64
grass_path,add,,0.8,0.5,add 方块 c=64
deadbush,add,,0.5,0.31,add 方块 c=16
slime,add,,79.2,49.5,add 方块 c=1
wooden_door,add,,1.5,0.94,add 其他 c=16
frog_spawn,add,,8.0,5.0,add 方块 c=16
