NIN,buy,count
5:afrozen_potion,45.0,8
5:amphithere_arrow,12.0,64
5:amphithere_feather,35.0,16
5:amphithere_skull,80.0,1
5:bestiary,80.0,1
5:chain,40.0,16
5:chain_sticky,55.0,8
5:cooked_grassonger_meat,22.0,64
5:cooked_raptor_meat,18.0,64
5:dragon_flute,320.0,1
5:dragon_horn,450.0,1
5:dragon_meal,60.0,16
5:dragonbone,200.0,16
5:dragonbone_arrow,15.0,64
5:earth_dragon_flesh,120.0,16
5:earth_dragon_scale,90.0,16
5:electric_ion_dragon_flesh,130.0,16
5:electric_ion_dragon_scale,95.0,16
5:fire_dragon_blood,250.0,1
5:fire_dragon_flesh,120.0,16
5:fire_dragon_scale,90.0,16
5:grassonger_meat,12.0,64
5:hydra_arrow,18.0,64
5:ice_dragon_blood,250.0,1
5:ice_dragon_flesh,120.0,16
5:ice_dragon_scale,90.0,16
5:lightning_dragon_blood,280.0,1
5:lightning_dragon_flesh,130.0,16
5:lightning_dragon_scale,95.0,16
5:manuscript,12.0,64
5:pixie_dust,30.0,16
5:raptor_meat,10.0,64
5:rotten_egg,25.0,16
5:sea_serpent_arrow,14.0,64
5:sea_serpent_fang,50.0,16
5:sea_serpent_scales_blue,55.0,16
5:sea_serpent_scales_bronze,55.0,16
5:sea_serpent_scales_deepblue,55.0,16
5:sea_serpent_scales_green,55.0,16
5:sea_serpent_scales_purple,55.0,16
5:sea_serpent_scales_red,55.0,16
5:sea_serpent_scales_teal,55.0,16
5:shiny_scales,45.0,16
5:sickly_dragon_meal,40.0,16
5:silver_ingot,18.0,16
5:silver_nugget,2.0,64
5:stymphalian_arrow,12.0,64
5:stymphalian_bird_feather,8.0,64
5:troll_leather_forest,35.0,16
5:troll_leather_frost,35.0,16
5:troll_leather_mountain,35.0,16
5:troll_tusk,40.0,16
5:wither_shard,20.0,64
5:witherbone,80.0,16
