id,action,old_buy,new_buy,old_sell,new_sell,reason
minecraft:melon_block,reprice,8.0,19.8,5.0,12.38,9x melon_slice x1.1
minecraft:snow,reprice,0.5,4.4,0.31,2.75,4x snowball x1.1
minecraft:clay,reprice,2.0,8.8,1.25,5.5,4x clay_ball x1.1
minecraft:dried_kelp_block,reprice,6.0,9.9,3.75,6.19,9x dried_kelp x1.1
minecraft:lava_bucket,reprice,80.0,57.6,50.0,36.0,sell(lava)<buy(empty)
minecraft:ender_chest,reprice,800.0,608.0,500.0,380.0,sell<8 obsidian+eye
minecraft:fishing_rod,reprice,20.0,10.03,12.5,6.27,sell<3 stick+2 string
bricefire:kpshop_npc_spawn_egg,cap-sell,800.0,800.0,10.0,0.0,spawn egg sell=0
bricefire:dwarf_spawn_egg,cap-sell,800.0,800.0,10.0,0.0,spawn egg sell=0
bricefire:cooked_grassonger_meat,cap-sell,22.0,22.0,13.75,10.8,cooked sell<raw bricefire:grassonger_meat
bricefire:cooked_raptor_meat,cap-sell,18.0,18.0,11.25,9.0,cooked sell<raw bricefire:raptor_meat
kaleidoscope_tavern:molotov,cap-sell,62.25,62.25,38.91,4.5,sell<mat 5.0
kaleidoscope_tavern:miners_star,cap-sell,74.75,74.75,46.72,8.1,sell<mat 9.0
kaleidoscope_tavern:honey_wine,cap-sell,51.0,51.0,31.88,11.7,sell<mat 13.0
kaleidoscope_tavern:madame_shexiang,cap-sell,51.0,51.0,31.88,10.5,sell<mat 11.67
kaleidoscope_tavern:sunset_glow,cap-sell,58.0,58.0,36.25,18.0,sell<mat 20.0
kaleidoscope_tavern:sauvignon_blanc_dry_white,cap-sell,47.0,47.0,29.38,8.1,sell<mat 9.0
kaleidoscope_tavern:plum_wine,cap-sell,43.0,43.0,26.88,6.3,sell<mat 7.0
kaleidoscope_tavern:rum,cap-sell,42.2,42.2,26.38,6.3,sell<mat 7.0
kaleidoscope_tavern:whiskey,cap-sell,43.2,43.2,27.0,7.2,sell<mat 8.0
kaleidoscope_tavern:vodka,cap-sell,43.2,43.2,27.0,7.2,sell<mat 8.0
kaleidoscope_tavern:red_queen,cap-sell,43.57,43.57,27.23,6.81,sell<mat 7.57
kaleidoscope_tavern:sweet_berry_wine,cap-sell,43.0,43.0,26.88,6.3,sell<mat 7.0
kaleidoscope_tavern:glowflower_brew,cap-sell,49.0,49.0,30.63,9.9,sell<mat 11.0
kaleidoscope_tavern:luminous_bride,cap-sell,51.0,51.0,31.88,11.7,sell<mat 13.0
kaleidoscope_tavern:riesling_dry_white,cap-sell,47.0,47.0,29.38,8.1,sell<mat 9.0
kaleidoscope_tavern:mother_snow,cap-sell,45.0,45.0,28.13,6.3,sell<mat 7.0
kaleidoscope_tavern:polaris_sweet_white,cap-sell,49.0,49.0,30.63,22.32,sell<mat 24.8
kaleidoscope_tavern:carignan,cap-sell,45.0,45.0,28.13,6.3,sell<mat 7.0
kaleidoscope_tavern:brandy,cap-sell,47.0,47.0,29.38,8.1,sell<mat 9.0
kaleidoscope_tavern:ice_wine,cap-sell,43.0,43.0,26.88,4.5,sell<mat 5.0
kaleidoscope_tavern:champagne,cap-sell,45.0,45.0,28.13,6.3,sell<mat 7.0
kaleidoscope_tavern:sakura_wine,cap-sell,45.0,45.0,28.13,6.3,sell<mat 7.0
kaleidoscope_tavern:wine,cap-sell,43.0,43.0,26.88,4.5,sell<mat 5.0
kaleidoscope_cookery:sakura_fubuki,cap-sell,39.6,39.6,24.75,21.6,sell<mat 24.0
kaleidoscope_cookery:oolong,cap-sell,2901.6,2901.6,1813.5,864.0,sell<mat 960.0
kaleidoscope_cookery:barley_tea,cap-sell,30.6,30.6,19.13,10.8,sell<mat 12.0
