name,durability,buy,count,tag,action
golden_axe,0,150.0,1,工具,add
golden_shovel,0,60.0,1,工具,add
golden_hoe,0,100.0,1,工具,add
spectral_arrow,0,6.0,64,材料,add
dragon_egg,0,13140.0,1,材料,add
melon_block,0,8.0,64,食物,add
brick,0,1.0,64,材料,add
netherbrick,0,1.5,64,材料,add
map,0,20.0,16,其他,add
filled_map,0,40.0,1,其他,add
written_book,0,30.0,1,其他,add
skeleton_skull,0,200.0,1,其他,add
wither_skeleton_skull,0,800.0,1,其他,add
zombie_head,0,300.0,1,其他,add
creeper_head,0,600.0,1,其他,add
dragon_head,0,4000.0,1,其他,add
piglin_head,0,500.0,1,其他,add
player_head,0,1000.0,1,其他,add
skull,0,200.0,1,其他,add
skull,1,800.0,1,其他,add
skull,2,300.0,1,其他,add
skull,3,1000.0,1,其他,add
skull,4,600.0,1,其他,add
skull,5,4000.0,1,其他,add
flower_banner_pattern,0,80.0,1,其他,add
creeper_banner_pattern,0,200.0,1,其他,add
skull_banner_pattern,0,250.0,1,其他,add
mojang_banner_pattern,0,800.0,1,其他,add
globe_banner_pattern,0,300.0,1,其他,add
piglin_banner_pattern,0,350.0,1,其他,add
flow_banner_pattern,0,400.0,1,其他,add
guster_banner_pattern,0,400.0,1,其他,add
field_masoned_banner_pattern,0,120.0,1,其他,add
bordure_indented_banner_pattern,0,120.0,1,其他,add
sentry_armor_trim_smithing_template,0,400.0,1,材料,add
dune_armor_trim_smithing_template,0,400.0,1,材料,add
coast_armor_trim_smithing_template,0,400.0,1,材料,add
wild_armor_trim_smithing_template,0,400.0,1,材料,add
tide_armor_trim_smithing_template,0,500.0,1,材料,add
snout_armor_trim_smithing_template,0,600.0,1,材料,add
rib_armor_trim_smithing_template,0,600.0,1,材料,add
host_armor_trim_smithing_template,0,500.0,1,材料,add
raiser_armor_trim_smithing_template,0,500.0,1,材料,add
shaper_armor_trim_smithing_template,0,500.0,1,材料,add
wayfinder_armor_trim_smithing_template,0,500.0,1,材料,add
ward_armor_trim_smithing_template,0,900.0,1,材料,add
eye_armor_trim_smithing_template,0,900.0,1,材料,add
vex_armor_trim_smithing_template,0,1000.0,1,材料,add
spire_armor_trim_smithing_template,0,1200.0,1,材料,add
silence_armor_trim_smithing_template,0,1500.0,1,材料,add
flow_armor_trim_smithing_template,0,1200.0,1,材料,add
