id,tier,old_buy,new_buy,new_sell
kaleidoscope_tavern:molotov,L3,62.25,300.0,187.5
kaleidoscope_tavern:miners_star,L3,74.75,300.0,187.5
kaleidoscope_tavern:honey_wine,L2,51.0,200.0,125.0
kaleidoscope_tavern:madame_shexiang,L2,51.0,200.0,125.0
kaleidoscope_tavern:sunset_glow,L2,58.0,200.0,125.0
kaleidoscope_tavern:sauvignon_blanc_dry_white,L2,47.0,160.0,100.0
kaleidoscope_tavern:plum_wine,L2,43.0,160.0,100.0
kaleidoscope_tavern:rum,L2,42.2,200.0,125.0
kaleidoscope_tavern:whiskey,L2,43.2,200.0,125.0
kaleidoscope_tavern:vodka,L2,43.2,200.0,125.0
kaleidoscope_tavern:red_queen,L2,43.57,160.0,100.0
kaleidoscope_tavern:sweet_berry_wine,L2,43.0,160.0,100.0
kaleidoscope_tavern:glowflower_brew,L2,49.0,160.0,100.0
kaleidoscope_tavern:luminous_bride,L2,51.0,160.0,100.0
kaleidoscope_tavern:riesling_dry_white,L2,47.0,160.0,100.0
kaleidoscope_tavern:sherry,L2,61.0,160.0,100.0
kaleidoscope_tavern:mother_snow,L2,45.0,160.0,100.0
kaleidoscope_tavern:polaris_sweet_white,L2,49.0,160.0,100.0
kaleidoscope_tavern:carignan,L2,45.0,160.0,100.0
kaleidoscope_tavern:brandy,L2,47.0,160.0,100.0
kaleidoscope_tavern:ice_wine,L2,43.0,160.0,100.0
kaleidoscope_tavern:champagne,L2,45.0,160.0,100.0
kaleidoscope_tavern:sakura_wine,L2,45.0,160.0,100.0
kaleidoscope_tavern:wine,L2,43.0,160.0,100.0
kaleidoscope_cookery:sakura_fubuki,L1,39.6,30.0,18.75
kaleidoscope_cookery:oolong,L1,109.2,30.0,18.75
kaleidoscope_cookery:barley_tea,L1,30.6,30.0,18.75
kaleidoscope_cookery:tieguanyin,L1,57.6,30.0,18.75
kaleidoscope_cookery:flower_tea,L1,39.6,30.0,18.75
kaleidoscope_cookery:biluochun,L1,109.2,30.0,18.75
kaleidoscope_cookery:buddha_jumps_over_the_wall,L3,181.0,100.0,62.5
kaleidoscope_cookery:oil_splashed_fish,L1,41.25,30.0,18.75
kaleidoscope_cookery:spicy_rabbit_head,L1,41.7,30.0,18.75
kaleidoscope_cookery:spicy_blood_stew,L1,62.0,30.0,18.75
kaleidoscope_cookery:braised_pork_ribs,L1,40.13,30.0,18.75
kaleidoscope_cookery:stuffed_tiger_skin_pepper,L1,40.31,30.0,18.75
kaleidoscope_cookery:numbing_spicy_chicken,L1,61.9,30.0,18.75
kaleidoscope_cookery:fried_caterpillar,L1,41.7,30.0,18.75
kaleidoscope_cookery:fried_spring_roll,L1,41.7,30.0,18.75
kaleidoscope_cookery:four_joy_meatball_soup,L1,62.0,30.0,18.75
kaleidoscope_cookery:dough_drop_soup,L1,62.0,30.0,18.75
kaleidoscope_cookery:shengjian_mantou,L1,40.0,18.0,11.25
kaleidoscope_cookery:crystal_lamb_chop,L1,41.7,30.0,18.75
kaleidoscope_cookery:frost_lamb_chop,L1,41.7,30.0,18.75
kaleidoscope_cookery:blaze_lamb_chop,L3,107.75,100.0,62.5
kaleidoscope_cookery:sweet_and_sour_ender_pearls,L3,131.0,60.0,37.5
kaleidoscope_cookery:stargazy_pie,L3,102.75,60.0,37.5
kaleidoscope_cookery:spicy_chicken,L1,41.63,30.0,18.75
kaleidoscope_cookery:pan_seared_knight_steak,L3,93.38,60.0,37.5
kaleidoscope_cookery:fondant_pie,L1,41.7,30.0,18.75
kaleidoscope_cookery:fondant_spider_eye,L3,91.5,60.0,37.5
kaleidoscope_cookery:dongpo_pork,L1,39.75,30.0,18.75
kaleidoscope_cookery:chorus_fried_egg,L3,104.0,60.0,37.5
kaleidoscope_cookery:slime_ball_meal,L1,41.7,30.0,18.75
kaleidoscope_cookery:udon_noodle,L2,72.0,40.0,25.0
kaleidoscope_cookery:hui_noodle,L2,65.6,40.0,25.0
kaleidoscope_cookery:beef_noodle,L2,65.6,40.0,25.0
