NIN,prev_buy,new_buy,prev_sell,new_sell
1:kaleidoscope_doll_hoglin,2000.0,600.0,1250.0,375.0
1:kaleidoscope_doll_strider,2000.0,600.0,1250.0,375.0
1:kaleidoscope_doll_blaze,2000.0,600.0,1250.0,375.0
1:kaleidoscope_doll_ghast,2000.0,600.0,1250.0,375.0
1:kaleidoscope_doll_magma_cube,2000.0,600.0,1250.0,375.0
1:kaleidoscope_doll_wither,6570.0,1500.0,4106.25,937.5
1:kaleidoscope_doll_silverfish,750.0,250.0,468.75,156.25
1:kaleidoscope_doll_piglin,2000.0,600.0,1250.0,375.0
1:kaleidoscope_doll_zoglin,2000.0,600.0,1250.0,375.0
1:kaleidoscope_doll_zombified_piglin,2000.0,600.0,1250.0,375.0
1:kaleidoscope_doll_warden,4000.0,1000.0,2500.0,625.0
1:kaleidoscope_doll_phantom,750.0,250.0,468.75,156.25
1:kaleidoscope_doll_elder_guardian,2000.0,600.0,1250.0,375.0
1:kaleidoscope_doll_guardian,2000.0,600.0,1250.0,375.0
1:kaleidoscope_doll_cave_spider,750.0,250.0,468.75,156.25
1:kaleidoscope_doll_spider,750.0,250.0,468.75,156.25
1:kaleidoscope_doll_creeper,750.0,250.0,468.75,156.25
1:kaleidoscope_doll_wither_skeleton,4000.0,600.0,2500.0,375.0
1:kaleidoscope_doll_stray,750.0,250.0,468.75,156.25
1:kaleidoscope_doll_skeleton,750.0,250.0,468.75,156.25
1:kaleidoscope_doll_ravager,4000.0,1000.0,2500.0,625.0
1:kaleidoscope_doll_illusioner,750.0,1000.0,468.75,625.0
1:kaleidoscope_doll_evoker,4000.0,1000.0,2500.0,625.0
1:kaleidoscope_doll_vindicator,2000.0,250.0,1250.0,156.25
1:kaleidoscope_doll_pillager,2000.0,250.0,1250.0,156.25
1:kaleidoscope_doll_witch,750.0,250.0,468.75,156.25
1:kaleidoscope_doll_drowned,750.0,250.0,468.75,156.25
1:kaleidoscope_doll_husk,750.0,250.0,468.75,156.25
1:kaleidoscope_doll_zombie_villager,100.0,250.0,62.5,156.25
1:kaleidoscope_doll_zombie,750.0,250.0,468.75,156.25
1:kaleidoscope_doll_rabbit,100.0,100.0,62.5,62.5
1:kaleidoscope_doll_fox,100.0,100.0,62.5,62.5
1:kaleidoscope_doll_parrot,100.0,100.0,62.5,62.5
1:kaleidoscope_doll_llama,100.0,100.0,62.5,62.5
1:kaleidoscope_doll_panda,300.0,100.0,187.5,62.5
1:kaleidoscope_doll_dolphin,300.0,100.0,187.5,62.5
1:kaleidoscope_doll_pufferfish,100.0,100.0,62.5,62.5
1:kaleidoscope_doll_squid,100.0,100.0,62.5,62.5
1:kaleidoscope_doll_glow_squid,100.0,100.0,62.5,62.5
1:kaleidoscope_doll_bee,100.0,100.0,62.5,62.5
1:kaleidoscope_doll_horse,100.0,100.0,62.5,62.5
1:kaleidoscope_doll_snow_golem,300.0,100.0,187.5,62.5
1:kaleidoscope_doll_villager,300.0,200.0,187.5,125.0
1:kaleidoscope_doll_allay,300.0,200.0,187.5,125.0
1:kaleidoscope_doll_armadillo,100.0,100.0,62.5,62.5
1:kaleidoscope_doll_goat,100.0,100.0,62.5,62.5
1:kaleidoscope_doll_camel,100.0,100.0,62.5,62.5
1:kaleidoscope_doll_axolotl,300.0,200.0,187.5,125.0
1:kaleidoscope_doll_iron_golem,300.0,200.0,187.5,125.0
1:kaleidoscope_doll_turtle,300.0,100.0,187.5,62.5
1:kaleidoscope_doll_polar_bear,300.0,100.0,187.5,62.5
1:kaleidoscope_doll_trader_llama,100.0,100.0,62.5,62.5
1:kaleidoscope_doll_wolf,100.0,100.0,62.5,62.5
1:kaleidoscope_doll_ocelot,100.0,100.0,62.5,62.5
1:kaleidoscope_doll_cat,100.0,100.0,62.5,62.5
1:kaleidoscope_doll_donkey,100.0,100.0,62.5,62.5
1:kaleidoscope_doll_chicken,100.0,100.0,62.5,62.5
1:kaleidoscope_doll_pig,100.0,100.0,62.5,62.5
1:kaleidoscope_doll_mooshroom,100.0,100.0,62.5,62.5
1:kaleidoscope_doll_cow,100.0,100.0,62.5,62.5
1:kaleidoscope_doll_sheep,100.0,100.0,62.5,62.5
1:kaleidoscope_doll_ender_dragon,6570.0,1500.0,4106.25,937.5
1:kaleidoscope_doll_shulker,2000.0,600.0,1250.0,375.0
1:kaleidoscope_doll_enderman,4000.0,1000.0,2500.0,625.0
1:kaleidoscope_doll_abert_cat,200.0,200.0,125.0,125.0
1:kaleidoscope_doll_cr_019,200.0,200.0,125.0,125.0
1:kaleidoscope_doll_tartaric_acid,200.0,200.0,125.0,125.0
1:kaleidoscope_doll_ysbb,200.0,200.0,125.0,125.0
