item,tax,count,cur_buy,cur_sell,correct_buy,correct_sell,ratio,ing_based
minecraft:iron_sword,1.5,1,3.61,2.41,0.06,0.04,60.2,True
minecraft:iron_pickaxe,1.5,1,5.43,3.62,0.08,0.06,67.9,True
minecraft:iron_axe,1.5,1,5.43,3.62,0.08,0.06,67.9,True
minecraft:iron_shovel,1.5,1,1.83,1.22,0.03,0.02,61.0,True
minecraft:iron_hoe,1.5,1,3.63,2.42,0.06,0.04,60.5,True
minecraft:golden_sword,1.5,1,7.21,4.81,0.11,0.08,65.5,True
minecraft:golden_pickaxe,1.5,1,10.83,7.22,0.17,0.11,63.7,True
minecraft:golden_axe,1.5,1,10.83,7.22,0.17,0.11,63.7,True
minecraft:golden_shovel,1.5,1,3.63,2.42,0.06,0.04,60.5,True
minecraft:golden_hoe,1.5,1,7.23,4.82,0.11,0.08,65.7,True
minecraft:diamond_sword,1.5,1,20.12,13.41,0.31,0.21,64.9,True
minecraft:diamond_pickaxe,1.5,1,30.18,20.12,0.47,0.31,64.2,True
minecraft:diamond_axe,1.5,1,30.18,20.12,0.47,0.31,64.2,True
minecraft:diamond_shovel,1.5,1,10.08,6.72,0.16,0.11,63.0,True
minecraft:diamond_hoe,1.5,1,20.13,13.42,0.31,0.21,64.9,True
minecraft:bow,1.5,1,13.54,9.03,0.21,0.14,64.5,True
minecraft:crossbow,1.5,1,14.01,9.34,0.22,0.15,63.7,True
minecraft:fishing_rod,1.5,1,9.04,6.03,0.14,0.09,64.6,True
minecraft:shears,1.5,1,3.6,2.4,0.06,0.04,60.0,True
minecraft:flint_and_steel,1.5,1,4.8,3.2,0.08,0.05,60.0,True
minecraft:bucket,1.5,1,5.4,3.6,0.08,0.06,67.5,True
minecraft:shield,1.5,1,1.98,1.32,0.03,0.02,66.0,True
minecraft:iron_helmet,1.5,1,9.0,6.0,0.14,0.09,64.3,True
minecraft:iron_chestplate,1.5,1,14.4,9.6,0.23,0.15,62.6,True
minecraft:iron_leggings,1.5,1,12.6,8.4,0.2,0.13,63.0,True
minecraft:iron_boots,1.5,1,7.2,4.8,0.11,0.08,65.5,True
minecraft:golden_helmet,1.5,1,18.0,12.0,0.28,0.19,64.3,True
minecraft:golden_chestplate,1.5,1,28.8,19.2,0.45,0.3,64.0,True
minecraft:golden_leggings,1.5,1,25.2,16.8,0.39,0.26,64.6,True
minecraft:golden_boots,1.5,1,14.4,9.6,0.23,0.15,62.6,True
minecraft:diamond_helmet,1.5,1,50.25,33.5,0.79,0.52,63.6,True
minecraft:diamond_chestplate,1.5,1,80.4,53.6,1.26,0.84,63.8,True
minecraft:diamond_leggings,1.5,1,70.35,46.9,1.1,0.73,64.0,True
minecraft:diamond_boots,1.5,1,40.2,26.8,0.63,0.42,63.8,True
minecraft:leather_helmet,1.5,1,0.67,0.45,0.01,0.01,67.0,True
minecraft:leather_chestplate,1.5,1,1.08,0.72,0.02,0.01,54.0,True
minecraft:leather_leggings,1.5,1,0.95,0.63,0.01,0.01,95.0,True
minecraft:leather_boots,1.5,1,0.54,0.36,0.01,0.01,54.0,True
minecraft:iron_block,1.5,1,16.2,10.8,0.25,0.17,64.8,True
minecraft:gold_block,1.5,1,32.4,21.6,0.51,0.34,63.5,True
minecraft:diamond_block,1.5,1,90.45,60.3,1.41,0.94,64.1,True
minecraft:emerald_block,1.5,1,54.0,36.0,54.0,36.0,1.0,False
minecraft:copper_block,1.5,1,5.4,3.6,0.08,0.06,67.5,True
minecraft:anvil,1.8,1,66.96,37.2,1.05,0.58,63.8,True
minecraft:hopper,1.8,1,11.39,6.33,0.21,0.11,54.2,True
minecraft:piston,1.8,16,3.29,1.83,0.05,0.03,65.8,True
minecraft:sticky_piston,1.8,16,12.29,6.83,0.19,0.11,64.7,True
minecraft:observer,1.8,16,2.61,1.45,0.04,0.02,65.2,True
minecraft:dispenser,1.8,16,24.43,13.57,24.3,13.5,1.0,True
minecraft:dropper,1.8,16,1.08,0.6,0.02,0.01,54.0,True
minecraft:furnace,1.5,1,0.12,0.08,0.0,0.0,0.0,True
minecraft:blast_furnace,1.8,1,11.07,6.15,0.39,0.21,28.4,True
minecraft:smoker,1.8,1,0.72,0.4,0.72,0.4,1.0,False
minecraft:enchanting_table,1.8,1,25.43,14.13,0.43,0.24,59.1,True
minecraft:jukebox,1.5,1,10.29,6.86,0.16,0.11,64.3,True
minecraft:bookshelf,1.5,16,1.66,1.11,0.1,0.06,16.6,True
minecraft:lectern,1.5,1,2.67,1.78,2.55,1.7,1.0,True
minecraft:tnt,1.5,64,45.18,30.12,0.71,0.47,63.6,True
minecraft:redstone_block,1.5,1,7.16,4.77,0.11,0.07,65.1,True
minecraft:redstone_lamp,1.5,16,3.29,2.19,0.05,0.03,65.8,True
minecraft:minecart,1.5,1,9.0,6.0,0.14,0.09,64.3,True
minecraft:chest_minecart,1.5,1,9.5,6.33,0.17,0.11,55.9,True
minecraft:furnace_minecart,1.5,1,9.18,6.12,0.32,0.21,28.7,True
minecraft:rail,1.5,64,0.68,0.45,0.01,0.01,68.0,True
minecraft:powered_rail,1.5,64,1.4,0.93,0.02,0.01,70.0,True
minecraft:detector_rail,1.5,64,0.73,0.48,0.01,0.01,73.0,True
minecraft:activator_rail,1.5,64,0.73,0.48,0.01,0.01,73.0,True
minecraft:bundle,1.5,1,36.0,24.0,27.14,18.09,1.3,True
minecraft:bread,3.0,64,9.0,3.0,9.0,3.0,1.0,False
minecraft:cake,3.0,1,0.3,0.1,0.3,0.1,1.0,False
minecraft:cookie,3.0,64,10.47,3.49,10.47,3.49,1.0,False
minecraft:pumpkin_pie,3.0,64,12.0,4.0,12.0,4.0,1.0,False
minecraft:golden_carrot,1.5,64,206.1,137.4,206.1,137.4,1.0,False
minecraft:golden_apple,1.5,1,28.8,19.2,28.8,19.2,1.0,False
minecraft:enchanted_golden_apple,1.8,1,311.04,172.8,311.04,172.8,1.0,False
minecraft:rabbit_stew,3.0,64,18.9,6.3,18.9,6.3,1.0,False
minecraft:mushroom_stew,3.0,64,0.78,0.26,0.78,0.26,1.0,False
minecraft:beetroot_soup,3.0,64,18.0,6.0,18.0,6.0,1.0,False
